"","X","5 1 p1_1","5 1 p2_1","5 1 p1_2","5 1 p2_2","V5","5 2 p1_1","5 2 p2_1","5 2 p1_2","5 2 p2_2","V5","5 3 p1_1","5 3 p2_1","5 3 p1_2","5 3 p2_2","V5","5 4 p1_1","5 4 p2_1","5 4 p1_2","5 4 p2_2","V5","5 5 p1_1","5 5 p2_1","5 5 p1_2","5 5 p2_2","V5","5 6 p1_1","5 6 p2_1","5 6 p1_2","5 6 p2_2","V5"
"1",1,"zipo ","kipe ","rimba ","kipe ","","zisu ","rimba ","faladea *","rimba ","","faladea ","faladea ","falodea ","faladea ","","falodea ","falodea ","falodea ","falodea ","","piu ","falodea ","piu ","falodea ","","piu ","piu ","piu ","piu ",""
"2",2,"sizo *","romiba ","rimba ","romiba ","","rimba ","rimba ","rimba ","rimba ","","rimba ","rimba ","pilu ","rimba ","","pilu ","pilu ","piu *","pilu ","","falodea ","piu ","pilu ","piu ","","pilu ","pilu ","piu ","pilu ",""
"3",3,"rimba *","timajeba ","timajeba ","timajeba ","","rimba ","timajeba ","rimba ","timajeba ","","rimba ","rimba ","rimba ","rimba ","","rimba ","rimba ","pilu ","rimba ","","piu ","pilu ","piu ","pilu ","","piu ","piu ","piu ","piu ",""
"4",4,"ziso *","sitobuna ","zisu *","sitobuna ","","zisu ","zisu ","zisu ","zisu ","","falodea ","zisu ","falodea ","zisu ","","falodea ","falodea ","falodea ","falodea ","","falodea ","falodea ","falabea *","falodea ","","pilu ","falabea ","falabea ","falabea ",""
"5",5,"doja *","tezadu ","rimba ","tezadu ","","rimba ","rimba ","riba *","rimba ","","rib *","riba ","zisu ","riba ","","zisu ","zisu ","zisu ","zisu ","","pilu ","zisu ","pilu ","zisu ","","pilu ","pilu ","pilu ","pilu ",""
"6",6,"falodelu ","zisa ","rimba ","zisa ","","zisu ","rimba ","rimba ","rimba ","","zisu ","rimba ","rmba *","rimba ","","rmba ","rmba ","falodea ","rmba ","","pilu ","falodea ","zimba ","falodea ","","zimba ","zimba ","zimba ","zimba ",""
"7",7,"zipo *","kemusije ","falodelu ","kemusije ","","falodelu ","falodelu ","falodea *","falodelu ","","aladea *","falodea ","faladea ","falodea ","","faladea ","faladea ","faladea ","faladea ","","falodea ","faladea ","paladea *","faladea ","","paladea ","paladea ","paladea ","paladea ",""
"8",8,"zipo ","fukopo ","rimba ","fukopo ","","rimba ","rimba ","rimba ","rimba ","","rimba ","rimba ","rimba ","rimba ","","rimba ","rimba ","rimba ","rimba ","","rimba ","rimba ","rimba ","rimba ","","zimba ","rimba ","rimba ","rimba ",""
"9",9,"pilu ","pilu ","rimba ","pilu ","","rimba ","rimba ","rimba ","rimba ","","rimba ","rimba ","rimba ","rimba ","","rimba ","rimba ","rimba ","rimba ","","rimba ","rimba ","rimba ","rimba ","","rimba ","rimba ","rimba ","rimba ",""
"10",10,"falodelu ","faludelu ","falodelu ","faludelu ","","pilu ","falodelu ","faladea ","falodelu ","","faladea ","faladea ","zisu ","faladea ","","rmba ","zisu ","faladea ","zisu ","","falodea ","faladea ","faladea ","faladea ","","zimba ","faladea ","faladea ","faladea ",""
"11",11,"falodelu *","neroro ","pilu ","neroro ","","pilu ","pilu ","pilu ","pilu ","","pilu ","pilu ","rimba ","pilu ","","rimba ","rimba ","rimba ","rimba ","","rimba ","rimba ","rimba ","rimba ","","zimba ","rimba ","zimba ","rimba ",""
"12",12,"doja ","doje ","pilu ","doje ","","pilu ","pilu ","pilu ","pilu ","","pilu ","pilu ","rimba ","pilu ","","rimba ","rimba ","rimba ","rimba ","","zimba *","rimba ","zimba ","rimba ","","zimba ","zimba ","zimba ","zimba ",""
