"","X","4 1 p1_1","4 1 p2_1","4 1 p1_2","4 1 p2_2","V5","4 2 p1_1","4 2 p2_1","4 2 p1_2","4 2 p2_2","V5","4 3 p1_1","4 3 p2_1","4 3 p1_2","4 3 p2_2","V5","4 4 p1_1","4 4 p2_1","4 4 p1_2","4 4 p2_2","V5","4 5 p1_1","4 5 p2_1","4 5 p1_2","4 5 p2_2","V5","4 6 p1_1","4 6 p2_1","4 6 p1_2","4 6 p2_2","V5"
"1",1,"temusije *","sitobuna ","tukebona *","sitobuna *","","quemusije *","tukebona ","tuquebona *","tukebona *","","faludelu *","tuquebona *","quemusije *","tuquebona ","","quemusije ","quemusije ","quemusije ","quemusije ","","quesimuje *","quemusije ","quesimuje ","quemusije *","","quesimuje ","quesimuje ","neruru *","quesimuje *",""
"2",2,"pilu *","tezadu ","pilu *","tezadu *","","pilu ","pilu ","lea *","pilu ","","lea ","lea ","lea ","lea ","","lea ","lea ","lea ","lea ","","lea ","lea ","lea ","lea ","","lea ","lea ","lea ","lea ",""
"3",3,"kipe ","kipe ","kipe ","kipe ","","kopo *","kipe *","kipe ","kipe ","","kipe ","kipe ","kipe ","kipe ","","kipe ","kipe ","kipe ","kipe ","","klipe *","kipe ","kiper *","kipe *","","kiper ","kiper ","kiper ","kiper ",""
"4",4,"fukebona *","kemusije *","quemusije *","kemusije *","","quemusije ","quemusije ","quemusije ","quemusije ","","romiba *","quemusije *","faludelu *","quemusije *","","faludelu ","faludelu ","faludelu ","faludelu ","","quemusije *","faludelu *","faludelu ","faludelu ","","neruru *","faludelu ","faludelu *","faludelu ",""
"5",5,"doje *","pilu *","romiba *","pilu *","","piza *","romiba ","remuru *","romiba *","","romiba *","remuru *","romiba *","remuru *","","romobila *","romiba ","faludelu *","romiba *","","faludelu ","faludelu ","faludelu ","faludelu ","","faludelu ","faludelu ","neruru *","faludelu *",""
"6",6,"doje ","doje ","doze *","doje ","","kipe *","doze *","kipe *","doze *","","kipe ","kipe ","neruru *","kipe ","","neruru ","neruru ","neruru ","neruru ","","klipe *","neruru ","neruru ","neruru *","","kiper *","neruru ","kiper ","neruru *",""
"7",7,"zisa ","zisa ","zisa ","zisa ","","zisa ","zisa ","romiba *","zisa ","","romiba ","romiba ","faludelu *","romiba ","","quemusije *","faludelu *","quemusije *","faludelu ","","quemusije ","quemusije ","quemusije ","quemusije ","","quemusije ","quemusije ","quemusije ","quemusije ",""
"8",8,"tilu *","neroro *","neroro ","neroro ","","neroro ","neroro ","neruru *","neroro ","","faludelu *","neruru *","quemusije *","neruru ","","quemusije ","quemusije ","quemusije ","quemusije ","","faludelu *","quemusije ","quesimuje *","quemusije *","","quesimuje ","quesimuje ","quesimuje ","quesimuje ",""
"9",9,"kipe *","fukopo ","kipe ","fukopo *","","kipe ","kipe ","doze *","kipe *","","doze ","doze ","doze ","doze ","","doze ","doze ","doze ","doze ","","doze ","doze ","doze ","doze ","","neruru *","doze ","doze ","doze *",""
"10",10,"filudelu *","faludelu *","faludelu ","faludelu ","","tuquebana *","faludelu *","faludelu ","faludelu ","","faludelu ","faludelu ","romiba *","faludelu *","","falulepa *","romiba ","faludelu *","romiba *","","quemusije *","faludelu *","faludelu ","faludelu ","","faludelu ","faludelu ","faludelu ","faludelu ",""
"11",11,"doje *","romiba *","romiba ","romiba ","","neroro *","romiba ","paludelu *","romiba *","","lie *","paludelu ","fadulelu *","paludelu *","","faludelu ","faludelu ","neruru *","faludelu *","","faludelu *","neruru *","faludelu *","neruru ","","faludelu ","faludelu ","faludelu ","faludelu ",""
"12",12,"kipe *","timajeba ","kopo *","timajeba *","","kopo ","kopo ","kipe *","kopo *","","romiba *","kipe ","neruru *","kipe *","","faludelu *","neruru ","neruru ","neruru *","","neruru ","neruru ","neruru ","neruru ","","neruru ","neruru ","neruru ","neruru ",""
