"","X","7 1 p1_1","7 1 p2_1","7 1 p1_2","7 1 p2_2","V5","7 2 p1_1","7 2 p2_1","7 2 p1_2","7 2 p2_2","V5","7 3 p1_1","7 3 p2_1","7 3 p1_2","7 3 p2_2","V5","7 4 p1_1","7 4 p2_1","7 4 p1_2","7 4 p2_2","V5","7 5 p1_1","7 5 p2_1","7 5 p1_2","7 5 p2_2","V5","7 6 p1_1","7 6 p2_1","7 6 p1_2","7 6 p2_2","V5"
"1",1,"faludelu ","zisa ","timaceba ","zisa ","","kimacepa ","timaceba ","timaceba ","timaceba ","","timaziba ","timaceba ","tibaziba *","timaceba ","","timaceba ","timaziba ","timaceba ","timaziba ","","faludelu ","timaceba ","kimaceba *","timaceba ","","kimazeba *","kimaceba ","kimazeba ","kimaceba ",""
"2",2,"kipe ","tezadu ","kimapeba *","tezadu ","","kimaceba ","kimapeba ","timaziba *","kimapeba ","","timaziba ","timaziba ","timaceba ","timaziba ","","timaziba ","timaceba ","timaziba ","timaceba ","","timaziba ","timaziba ","kimaziba ","timaziba ","","kimaziba ","kimaziba ","kimaziba ","kimaziba ",""
"3",3,"neroro ","fukopo ","timaceba *","fukopo ","","neuroro ","timaceba ","tibaceba *","timaceba ","","timacepa *","tibaceba ","timaziba ","tibaceba ","","timaziba ","timaziba ","timaceba ","timaziba ","","kinaciba *","timaceba ","kimaziba ","timaceba ","","kimaziba ","kimaziba ","kimaziba ","kimaziba ",""
"4",4,"falulu *","sitobuna ","faludelu ","sitobuna ","","faludelu ","faludelu ","faludelu ","faludelu ","","kimaceba ","faludelu ","faludelu ","faludelu ","","faludelu ","faludelu ","faludelu ","faludelu ","","timaziba ","faludelu ","faludelu ","faludelu ","","faludelu ","faludelu ","faludelu ","faludelu ",""
"5",5,"kipe ","pilu ","kimaceba ","pilu ","","kimacepa ","kimaceba ","kimaceba ","kimaceba ","","faludelu ","kimaceba ","timaziba ","kimaceba ","","kimaceba ","timaziba ","kimaziba *","timaziba ","","timaziba ","kimaziba ","faludelu ","kimaziba ","","faludelu ","faludelu ","faludelu ","faludelu ",""
"6",6,"wsx *","romiba ","kimaceba *","romiba ","","kimaceba ","kimaceba ","faludelu ","kimaceba ","","faludelu ","faludelu ","faludelu ","faludelu ","","faludelu ","faludelu ","faludelu ","faludelu ","","timaziba ","faludelu ","faludelu ","faludelu ","","faludelu ","faludelu ","faludelu ","faludelu ",""
"7",7,"tezadu ","faludelu ","tamiziba *","faludelu ","","rombilla ","tamiziba ","romiba ","tamiziba ","","romiba ","romiba ","romiba ","romiba ","","romiba ","romiba ","rombila ","romiba ","","timaziba ","rombila ","neuroro ","rombila ","","neuroro ","neuroro ","neuroro ","neuroro ",""
"8",8,"kipe ","kipe ","kipe ","kipe ","","timacepa *","kipe ","kimaziba *","kipe ","","kimaceba ","kimaziba ","kimaceba ","kimaziba ","","timaceba ","kimaceba ","timaceba ","kimaceba ","","neuroro ","timaceba ","kimaziba ","timaceba ","","kimaziba ","kimaziba ","kimaziba ","kimaziba ",""
"9",9,"nerroro *","timajeba ","romiba ","timajeba ","","rombilla *","romiba ","kimacepa ","romiba ","","kimaceba ","kimacepa ","kimaceba ","kimacepa ","","kimaceba ","kimaceba ","timaziba ","kimaceba ","","neuroro ","timaziba ","kimaziba ","timaziba ","","kimaziba ","kimaziba ","kimaziba ","kimaziba ",""
"10",10,"falupo *","neroro ","faludelu ","neroro ","","neuroro ","faludelu ","rombila *","faludelu ","","rombila ","rombila ","rombila ","rombila ","","rombila ","rombila ","rombila ","rombila ","","neuror ","rombila ","rombila ","rombila ","","neuroro ","rombila ","neuroro ","rombila ",""
"11",11,"timajeba ","kemusije ","timaceba ","kemusije ","","kimacepa *","timaceba ","neuroro ","timaceba ","","neuroro ","neuroro ","neuroro ","neuroro ","","neuroro ","neuroro ","neuroro ","neuroro ","","neuror ","neuroro ","neuror ","neuroro ","","neuror ","neuror ","neuror ","neuror ",""
"12",12,"neroro ","doje ","neroro ","doje ","","neuroro *","neroro ","neuror *","neroro ","","neuror ","neuror ","neuror ","neuror ","","neuror ","neuror ","neuror ","neuror ","","neuror ","neuror ","neuror ","neuror ","","neuror ","neuror ","neuror ","neuror ",""
