"","condition","chain","gen","round","parent","word","meaning","isSpikyMeaning","increaseIconicity","wordCount","wordCountSameMeaning","inFinalLang","guessedMeaning","correctGuess","correctSpikiness"
"220","Learn","3",1,37,"tezadu","l","4","TRUE",-0.0770758633044868,1,1,TRUE,"5","FALSE","TRUE"
"221","Learn","3",1,45,"doje","dojo","10","FALSE",0.0184353855441781,1,1,TRUE,"10","TRUE","TRUE"
"222","Learn","3",1,47,"romiba","sitonuna","8","FALSE",-0.0774686855414193,1,1,TRUE,"11","FALSE","TRUE"
"223","Learn","3",2,11,"faludelu","faledufo","1","TRUE",-0.00036420106072832,1,1,FALSE,"1","TRUE","TRUE"
"224","Learn","3",2,19,"sitonuna","siturama","8","FALSE",8.03955546198054e-05,2,2,TRUE,"8","TRUE","TRUE"
"225","Learn","3",3,3,"k","sonorama","11","FALSE",0.202334116766617,5,2,TRUE,"8","FALSE","TRUE"
"226","Learn","3",3,5,"faludelu","farulele","1","TRUE",-6.90371474605378e-05,2,1,TRUE,"1","TRUE","TRUE"
"227","Learn","3",3,11,"fukopo","foroko","3","TRUE",-0.0646234066239062,1,1,FALSE,"3","TRUE","TRUE"
"228","Learn","3",3,29,"faludelu","farulere","1","TRUE",0.0057739489198978,1,1,FALSE,"1","TRUE","TRUE"
"229","Learn","3",3,33,"l","fadulele","4","TRUE",-0.0475977952245263,1,1,TRUE,"1","FALSE","TRUE"
"230","Learn","3",4,11,"fukopo","faruleke","3","TRUE",-0.0947953366624201,2,1,FALSE,"1","FALSE","TRUE"
"231","Learn","3",5,17,"sonorama","samurana","2","TRUE",0.0171992323255887,2,2,FALSE,"2","TRUE","TRUE"
"232","Learn","4",1,1,"neroro","falupo","9","FALSE",0.0205945410621258,1,1,FALSE,"2","FALSE","FALSE"
"233","Learn","4",1,3,"timajeba","nerroro","8","FALSE",0.179107124755976,1,1,FALSE,"9","FALSE","TRUE"
"234","Learn","4",1,5,"romiba","wsx","5","TRUE",0.0753016628468868,1,1,FALSE,"0","FALSE","TRUE"
"235","Learn","4",1,9,"sitobuna","falulu","3","TRUE",-0.0704237593504797,1,1,FALSE,"6","FALSE","FALSE"
"236","Learn","4",1,25,"tezadu","tamiziba","6","FALSE",-0.0393659642075219,1,1,TRUE,"5","FALSE","FALSE"
"237","Learn","4",1,27,"fukopo","timaceba","2","TRUE",-0.112203731659887,3,1,TRUE,"8","FALSE","FALSE"
"238","Learn","4",1,29,"romiba","kimaceba","5","TRUE",0.2531361574936,2,1,TRUE,"8","FALSE","FALSE"
"239","Learn","4",1,39,"tezadu","kimapeba","1","TRUE",0.145796152411114,1,1,TRUE,"8","FALSE","FALSE"
"240","Learn","4",2,1,"kipe","timacepa","7","FALSE",0.181075472190629,1,1,FALSE,"2","FALSE","FALSE"
"241","Learn","4",2,5,"neroro","neuroro","11","FALSE",0.00188905525598537,4,1,FALSE,"11","TRUE","TRUE"
"242","Learn","4",2,13,"timaceba","kimacepa","10","FALSE",-0.205796234046241,4,1,FALSE,"5","FALSE","FALSE"
"243","Learn","4",2,17,"romiba","rombilla","8","FALSE",0.0442259579180773,2,1,FALSE,"8","TRUE","TRUE"
"244","Learn","4",2,27,"neroro","neuror","11","FALSE",0.00188905525598537,1,1,TRUE,"11","TRUE","TRUE"
"245","Learn","4",2,29,"kimaceba","timaziba","1","TRUE",-0.106237112106963,1,1,TRUE,"6","FALSE","FALSE"
"246","Learn","4",2,39,"kipe","kimaziba","7","FALSE",-0.0343035392110052,1,1,TRUE,"5","FALSE","FALSE"
"247","Learn","4",2,43,"timaceba","tibaceba","2","TRUE",-0.00501652626954918,1,1,TRUE,"2","TRUE","TRUE"
"248","Learn","4",2,45,"faludelu","rombila","9","FALSE",0.0114197137534058,1,1,TRUE,"8","FALSE","TRUE"
"249","Learn","4",3,1,"tibaceba","timacepa","2","TRUE",0.0329905673044957,1,1,FALSE,"0","FALSE","TRUE"
