"","condition","chain","gen","round","parent","word","meaning","isSpikyMeaning","increaseIconicity","wordCount","wordCountSameMeaning","inFinalLang","guessedMeaning","correctGuess","correctSpikiness"
"71","Comm","2",4,10,"kamidefa","kamikazu","4","TRUE",0.145506249612033,7,2,FALSE,"3","FALSE","TRUE"
"72","Comm","2",6,1,"kamikazu","kamicazu","10","FALSE",-0.017101166966893,5,2,FALSE,"4","FALSE","FALSE"
"73","Comm","2",6,2,"kamikazu","kamizaku","4","TRUE",-0.0676428046401876,1,1,FALSE,"5","FALSE","TRUE"
"74","Comm","2",6,10,"neroro","polikazu","6","FALSE",-0.309720327460949,2,1,FALSE,"11","FALSE","TRUE"
"75","Comm","2",6,11,"neroro","policazu","8","FALSE",-0.152331112969593,1,1,FALSE,"10","FALSE","TRUE"
"76","Comm","2",6,13,"kamijace","falepa","0","TRUE",-0.363797080815744,4,2,TRUE,"0","TRUE","TRUE"
"77","Comm","2",6,14,"kamikazu","kamikace","1","TRUE",-0.121547082286442,1,1,FALSE,"3","FALSE","TRUE"
"78","Comm","2",6,17,"pilu","pilo","7","FALSE",0.00305462421068681,2,2,TRUE,"7","TRUE","TRUE"
"79","Comm","2",6,18,"faludefa","pileloc","9","FALSE",-0.0827257367905689,1,1,FALSE,"4","FALSE","FALSE"
"80","Comm","2",6,19,"kamikace","pipeloc","1","TRUE",-0.213837800627965,1,1,FALSE,"9","FALSE","FALSE"
"81","Comm","2",6,22,"pilo","pelolu","7","FALSE",0.0416851540821219,1,1,FALSE,"7","TRUE","TRUE"
"82","Comm","2",6,24,"policazu","naroro","8","FALSE",0.175637378156579,1,1,FALSE,"8","TRUE","TRUE"
"83","Comm","2",6,25,"neroro","kamicazuneroro","2","TRUE",0.346381547591612,2,1,TRUE,"11","FALSE","FALSE"
"84","Comm","2",6,26,"falepa","pilolu","9","FALSE",-0.0668703233463974,2,1,FALSE,"10","FALSE","TRUE"
"85","Comm","2",6,27,"pilolu","piloluuuu","9","FALSE",-0.000449599410915269,1,1,TRUE,"3","FALSE","FALSE"
"86","Comm","2",6,28,"falepa","piloluuu","0","TRUE",0.0673199227573127,1,1,FALSE,"9","FALSE","FALSE"
"87","Comm","2",6,32,"pipeloc","piru","1","TRUE",0.02103158267898,1,1,FALSE,"7","FALSE","FALSE"
"88","Comm","2",6,34,"polikazu","kamicace","5","TRUE",-0.0297021525214163,1,1,FALSE,"0","FALSE","TRUE"
"89","Comm","2",6,41,"kamikazu","piluuu","10","FALSE",0.335799874672953,1,1,TRUE,"1","FALSE","FALSE"
"90","Comm","2",6,43,"kamikazu","nerorooo","11","FALSE",0.400938889792418,1,1,TRUE,"8","FALSE","TRUE"
"91","Comm","2",6,44,"kamijace","kamukazu","4","TRUE",-0.0320259808803369,1,1,FALSE,"4","TRUE","TRUE"
"92","Comm","2",6,47,"piru","kamicazuu","1","TRUE",0.33145446720232,1,1,TRUE,"5","FALSE","TRUE"
"93","Comm","4",1,17,"kemusije","foopo","2","TRUE",-0.294223373831366,1,1,FALSE,"1","FALSE","TRUE"
"94","Comm","4",1,19,"zisa","fokopo","5","TRUE",0.0202997090642576,1,1,FALSE,"4","FALSE","TRUE"
"95","Comm","4",1,24,"fokopo","tabuja","5","TRUE",-0.0741852312102509,1,1,FALSE,"2","FALSE","TRUE"
"96","Comm","4",1,25,"doje","tejimabe","9","FALSE",-0.00927216002230757,1,1,FALSE,"9","TRUE","TRUE"
"97","Comm","4",1,27,"faludelu","tobuba","8","FALSE",-0.0448696417436145,1,1,FALSE,"11","FALSE","TRUE"
"98","Comm","4",1,30,"neroro","tajuba","2","TRUE",0.121636393547066,1,1,TRUE,"6","FALSE","FALSE"
