"X","condition","chain","gen","trial.nr","context","target.meaning","word.produced","innovation","innovationForMeaning","innovation.mutation","guessedMeaning","correctGuess","correctSpikiness","Human","contextString","targetString","estimatedSpikinessRating"
1,"Comm",0,1,73,"[5, 3, 11, 1, 2, 6]",5,"kemusije",TRUE,TRUE,FALSE,1,FALSE,TRUE,TRUE,"SpikyBlueThick,SpikyRedThick,RoundBlueThick,SpikyGreen,SpikyBlue,RoundRed","SpikyBlueThick",4.30139248315776
2,"Comm",0,1,74,"[0, 10, 1, 7, 5, 2]",5,"fakutino",TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,"SpikyRed,RoundGreenThick,SpikyGreen,RoundGreen,SpikyBlueThick,SpikyBlue","SpikyBlueThick",4.12711392370144
3,"Comm",0,1,75,"[10, 4, 7, 2, 3, 8]",3,"kipe",FALSE,FALSE,FALSE,3,TRUE,TRUE,TRUE,"RoundGreenThick,SpikyGreenThick,RoundGreen,SpikyBlue,SpikyRedThick,RoundBlue","SpikyRedThick",4.20064380541409
4,"Comm",0,1,76,"[11, 8, 2, 1, 0, 6]",0,"doje",FALSE,FALSE,FALSE,2,FALSE,TRUE,TRUE,"RoundBlueThick,RoundBlue,SpikyBlue,SpikyGreen,SpikyRed,RoundRed","SpikyRed",4.10019842867354
5,"Comm",0,1,77,"[11, 5, 3, 8, 9, 6]",11,"faludelu",FALSE,FALSE,FALSE,8,FALSE,TRUE,TRUE,"RoundBlueThick,SpikyBlueThick,SpikyRedThick,RoundBlue,RoundRedThick,RoundRed","RoundBlueThick",3.88505132857922
6,"Comm",0,1,78,"[0, 8, 9, 7, 2, 1]",1,"zizu",TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,"SpikyRed,RoundBlue,RoundRedThick,RoundGreen,SpikyBlue,SpikyGreen","SpikyGreen",4.11592507249913
7,"Comm",0,1,79,"[8, 11, 6, 0, 2, 9]",2,"doje",TRUE,TRUE,FALSE,0,FALSE,TRUE,TRUE,"RoundBlue,RoundBlueThick,RoundRed,SpikyRed,SpikyBlue,RoundRedThick","SpikyBlue",4.10019842867354
8,"Comm",0,1,80,"[9, 2, 1, 11, 6, 4]",4,"piltru",TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,"RoundRedThick,SpikyBlue,SpikyGreen,RoundBlueThick,RoundRed,SpikyGreenThick","SpikyGreenThick",3.97500629065359
9,"Comm",0,1,81,"[1, 3, 10, 6, 0, 8]",6,"romiba",TRUE,TRUE,FALSE,10,FALSE,TRUE,TRUE,"SpikyGreen,SpikyRedThick,RoundGreenThick,RoundRed,SpikyRed,RoundBlue","RoundRed",3.9346603804609
10,"Comm",0,1,82,"[4, 3, 9, 6, 10, 0]",3,"kite",TRUE,TRUE,TRUE,3,TRUE,TRUE,TRUE,"SpikyGreenThick,SpikyRedThick,RoundRedThick,RoundRed,RoundGreenThick,SpikyRed","SpikyRedThick",4.19798720840729
11,"Comm",0,1,83,"[7, 1, 2, 4, 10, 5]",1,"zise",TRUE,TRUE,TRUE,1,TRUE,TRUE,TRUE,"RoundGreen,SpikyGreen,SpikyBlue,SpikyGreenThick,RoundGreenThick,SpikyBlueThick","SpikyGreen",4.10032409551162
12,"Comm",0,1,84,"[10, 5, 4, 3, 11, 0]",10,"kumoju",TRUE,TRUE,TRUE,11,FALSE,TRUE,TRUE,"RoundGreenThick,SpikyBlueThick,SpikyGreenThick,SpikyRedThick,RoundBlueThick,SpikyRed","RoundGreenThick",4.19386568567592
13,"Comm",0,1,85,"[3, 2, 7, 9, 5, 8]",8,"faludelu",TRUE,TRUE,FALSE,8,TRUE,TRUE,TRUE,"SpikyRedThick,SpikyBlue,RoundGreen,RoundRedThick,SpikyBlueThick,RoundBlue","RoundBlue",3.88505132857922
14,"Comm",0,1,86,"[11, 2, 1, 0, 10, 4]",11,"kujonu",TRUE,TRUE,TRUE,0,FALSE,FALSE,TRUE,"RoundBlueThick,SpikyBlue,SpikyGreen,SpikyRed,RoundGreenThick,SpikyGreenThick","RoundBlueThick",4.17549861223119
15,"Comm",0,1,87,"[4, 3, 5, 7, 11, 10]",10,"timajeba",TRUE,TRUE,FALSE,10,TRUE,TRUE,TRUE,"SpikyGreenThick,SpikyRedThick,SpikyBlueThick,RoundGreen,RoundBlueThick,RoundGreenThick","RoundGreenThick",4.11586208495803
16,"Comm",0,1,88,"[4, 5, 0, 7, 2, 9]",9,"komobi",TRUE,TRUE,TRUE,9,TRUE,TRUE,TRUE,"SpikyGreenThick,SpikyBlueThick,SpikyRed,RoundGreen,SpikyBlue,RoundRedThick","RoundRedThick",4.10711288624518
17,"Comm",0,1,89,"[8, 11, 3, 7, 6, 9]",7,"romiba",FALSE,FALSE,FALSE,7,TRUE,TRUE,TRUE,"RoundBlue,RoundBlueThick,SpikyRedThick,RoundGreen,RoundRed,RoundRedThick","RoundGreen",3.9346603804609
18,"Comm",0,1,90,"[8, 6, 5, 10, 3, 4]",8,"faludelu",FALSE,TRUE,FALSE,8,TRUE,TRUE,TRUE,"RoundBlue,RoundRed,SpikyBlueThick,RoundGreenThick,SpikyRedThick,SpikyGreenThick","RoundBlue",3.88505132857922
19,"Comm",0,1,91,"[7, 3, 6, 9, 8, 5]",9,"komiba",TRUE,TRUE,TRUE,6,FALSE,TRUE,TRUE,"RoundGreen,SpikyRedThick,RoundRed,RoundRedThick,RoundBlue,SpikyBlueThick","RoundRedThick",4.09776714788201
20,"Comm",0,1,92,"[7, 5, 11, 4, 10, 1]",7,"robima",TRUE,TRUE,TRUE,7,TRUE,TRUE,TRUE,"RoundGreen,SpikyBlueThick,RoundBlueThick,SpikyGreenThick,RoundGreenThick,SpikyGreen","RoundGreen",3.94321792304492
21,"Comm",0,1,93,"[2, 11, 0, 10, 9, 4]",0,"komiba",TRUE,TRUE,FALSE,9,FALSE,FALSE,TRUE,"SpikyBlue,RoundBlueThick,SpikyRed,RoundGreenThick,RoundRedThick,SpikyGreenThick","SpikyRed",4.09776714788201
22,"Comm",0,1,94,"[3, 7, 6, 4, 1, 0]",6,"kojuno",TRUE,TRUE,TRUE,0,FALSE,FALSE,TRUE,"SpikyRedThick,RoundGreen,RoundRed,SpikyGreenThick,SpikyGreen,SpikyRed","RoundRed",4.18011230542592
23,"Comm",0,1,95,"[10, 4, 0, 6, 1, 2]",4,"zise",TRUE,TRUE,FALSE,1,FALSE,TRUE,TRUE,"RoundGreenThick,SpikyGreenThick,SpikyRed,RoundRed,SpikyGreen,SpikyBlue","SpikyGreenThick",4.10032409551162
24,"Comm",0,1,96,"[7, 1, 8, 2, 6, 11]",2,"neroro",TRUE,FALSE,FALSE,8,FALSE,FALSE,TRUE,"RoundGreen,SpikyGreen,RoundBlue,SpikyBlue,RoundRed,RoundBlueThick","SpikyBlue",3.93578277018949
25,"Comm",0,1,97,"[5, 7, 6, 1, 11, 9]",11,"faludelu",TRUE,FALSE,FALSE,11,TRUE,TRUE,TRUE,"SpikyBlueThick,RoundGreen,RoundRed,SpikyGreen,RoundBlueThick,RoundRedThick","RoundBlueThick",3.88505132857922
26,"Comm",0,1,98,"[10, 2, 9, 8, 6, 7]",2,"neroro",FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE,"RoundGreenThick,SpikyBlue,RoundRedThick,RoundBlue,RoundRed,RoundGreen","SpikyBlue",3.93578277018949
27,"Comm",0,1,99,"[8, 9, 2, 5, 1, 6]",2,"neroro",FALSE,FALSE,FALSE,2,TRUE,TRUE,TRUE,"RoundBlue,RoundRedThick,SpikyBlue,SpikyBlueThick,SpikyGreen,RoundRed","SpikyBlue",3.93578277018949
28,"Comm",0,1,100,"[11, 2, 10, 6, 1, 8]",11,"faludelu",FALSE,FALSE,FALSE,11,TRUE,TRUE,TRUE,"RoundBlueThick,SpikyBlue,RoundGreenThick,RoundRed,SpikyGreen,RoundBlue","RoundBlueThick",3.88505132857922
29,"Comm",0,1,101,"[2, 7, 4, 5, 9, 3]",4,"ketaju",TRUE,TRUE,TRUE,3,FALSE,TRUE,TRUE,"SpikyBlue,RoundGreen,SpikyGreenThick,SpikyBlueThick,RoundRedThick,SpikyRedThick","SpikyGreenThick",4.20664843515134
30,"Comm",0,1,102,"[4, 8, 2, 7, 11, 1]",1,"jutumu",TRUE,TRUE,TRUE,2,FALSE,TRUE,TRUE,"SpikyGreenThick,RoundBlue,SpikyBlue,RoundGreen,RoundBlueThick,SpikyGreen","SpikyGreen",4.10757509745409
31,"Comm",0,1,103,"[0, 8, 6, 10, 3, 1]",8,"kemusije",TRUE,TRUE,FALSE,10,FALSE,TRUE,TRUE,"SpikyRed,RoundBlue,RoundRed,RoundGreenThick,SpikyRedThick,SpikyGreen","RoundBlue",4.30139248315776
32,"Comm",0,1,104,"[5, 6, 9, 3, 10, 8]",3,"kite",FALSE,TRUE,FALSE,3,TRUE,TRUE,TRUE,"SpikyBlueThick,RoundRed,RoundRedThick,SpikyRedThick,RoundGreenThick,RoundBlue","SpikyRedThick",4.19798720840729
33,"Comm",0,1,105,"[1, 7, 3, 10, 0, 4]",7,"romiba",TRUE,FALSE,FALSE,10,FALSE,TRUE,TRUE,"SpikyGreen,RoundGreen,SpikyRedThick,RoundGreenThick,SpikyRed,SpikyGreenThick","RoundGreen",3.9346603804609
34,"Comm",0,1,106,"[6, 11, 8, 5, 9, 10]",6,"dejuzme",TRUE,TRUE,TRUE,6,TRUE,TRUE,TRUE,"RoundRed,RoundBlueThick,RoundBlue,SpikyBlueThick,RoundRedThick,RoundGreenThick","RoundRed",4.1426714355699
35,"Comm",0,1,107,"[9, 4, 8, 3, 2, 0]",9,"dejuzme",TRUE,TRUE,FALSE,9,TRUE,TRUE,TRUE,"RoundRedThick,SpikyGreenThick,RoundBlue,SpikyRedThick,SpikyBlue,SpikyRed","RoundRedThick",4.1426714355699
36,"Comm",0,1,108,"[9, 10, 2, 6, 1, 5]",10,"komibu",TRUE,TRUE,TRUE,6,FALSE,TRUE,TRUE,"RoundRedThick,RoundGreenThick,SpikyBlue,RoundRed,SpikyGreen,SpikyBlueThick","RoundGreenThick",4.12116645190214
37,"Comm",0,1,109,"[1, 9, 7, 0, 11, 2]",0,"komoto",TRUE,TRUE,TRUE,9,FALSE,FALSE,TRUE,"SpikyGreen,RoundRedThick,RoundGreen,SpikyRed,RoundBlueThick,SpikyBlue","SpikyRed",4.11548351641864
38,"Comm",0,1,110,"[10, 1, 11, 0, 4, 8]",4,"dejuzme",TRUE,TRUE,FALSE,10,FALSE,FALSE,TRUE,"RoundGreenThick,SpikyGreen,RoundBlueThick,SpikyRed,SpikyGreenThick,RoundBlue","SpikyGreenThick",4.1426714355699
39,"Comm",0,1,111,"[2, 5, 3, 4, 10, 11]",3,"kite",FALSE,TRUE,FALSE,3,TRUE,TRUE,TRUE,"SpikyBlue,SpikyBlueThick,SpikyRedThick,SpikyGreenThick,RoundGreenThick,RoundBlueThick","SpikyRedThick",4.19798720840729
40,"Comm",0,1,112,"[4, 0, 10, 5, 7, 9]",7,"romibu",TRUE,TRUE,TRUE,10,FALSE,TRUE,TRUE,"SpikyGreenThick,SpikyRed,RoundGreenThick,SpikyBlueThick,RoundGreen,RoundRedThick","RoundGreen",3.95168663961833
41,"Comm",0,1,113,"[0, 5, 7, 11, 3, 8]",5,"kemusije",TRUE,TRUE,FALSE,7,FALSE,FALSE,TRUE,"SpikyRed,SpikyBlueThick,RoundGreen,RoundBlueThick,SpikyRedThick,RoundBlue","SpikyBlueThick",4.30139248315776
42,"Comm",0,1,114,"[7, 2, 8, 1, 10, 3]",8,"falucitu",TRUE,TRUE,TRUE,2,FALSE,FALSE,TRUE,"RoundGreen,SpikyBlue,RoundBlue,SpikyGreen,RoundGreenThick,SpikyRedThick","RoundBlue",3.94900851090613
43,"Comm",0,1,115,"[7, 3, 10, 8, 5, 11]",10,"romiba",TRUE,TRUE,FALSE,10,TRUE,TRUE,TRUE,"RoundGreen,SpikyRedThick,RoundGreenThick,RoundBlue,SpikyBlueThick,RoundBlueThick","RoundGreenThick",3.9346603804609
