"Cond","Chain","Gen","Item","Shape","Colour","Border","Code","Word","RatedSpikiness"
"Learn",4,2,"RoundGreen","Redondo","Verde","Fino",257,"neruru",2.8
"Learn",4,2,"RoundBlue","Redondo","Azul","Fino",267,"doze",3.6875
"Learn",4,2,"RoundRedThick","Redondo","Rojo","Grueso",248,"faludelu",2.875
"Learn",4,2,"RoundGreenThick","Redondo","Verde","Grueso",258,"paludelu",3.4
"Learn",4,2,"RoundBlueThick","Redondo","Azul","Grueso",268,"kipe",5.6875
"Learn",4,3,"SpikyRed","Picudo","Rojo","Fino",147,"quemusije",5.133333333
"Learn",4,3,"SpikyGreen","Picudo","Verde","Fino",157,"lea",2.333333333
"Learn",4,3,"SpikyBlue","Picudo","Azul","Fino",167,"kipe",5.6875
"Learn",4,3,"SpikyRedThick","Picudo","Rojo","Grueso",148,"faludelu",2.875
"Learn",4,3,"SpikyGreenThick","Picudo","Verde","Grueso",158,"romiba",3.2
"Learn",4,3,"SpikyBlueThick","Picudo","Azul","Grueso",168,"neruru",2.8
"Learn",4,3,"RoundRed","Redondo","Rojo","Fino",247,"faludelu",2.875
"Learn",4,3,"RoundGreen","Redondo","Verde","Fino",257,"quemusije",5.133333333
"Learn",4,3,"RoundBlue","Redondo","Azul","Fino",267,"doze",3.6875
"Learn",4,3,"RoundRedThick","Redondo","Rojo","Grueso",248,"romiba",3.2
"Learn",4,3,"RoundGreenThick","Redondo","Verde","Grueso",258,"faludelu",2.875
"Learn",4,3,"RoundBlueThick","Redondo","Azul","Grueso",268,"neruru",2.8
"Learn",4,4,"SpikyRed","Picudo","Rojo","Fino",147,"quemusije",5.133333333
"Learn",4,4,"SpikyGreen","Picudo","Verde","Fino",157,"lea",2.333333333
"Learn",4,4,"SpikyBlue","Picudo","Azul","Fino",167,"kipe",5.6875
"Learn",4,4,"SpikyRedThick","Picudo","Rojo","Grueso",148,"faludelu",2.875
"Learn",4,4,"SpikyGreenThick","Picudo","Verde","Grueso",158,"faludelu",2.875
"Learn",4,4,"SpikyBlueThick","Picudo","Azul","Grueso",168,"neruru",2.8
"Learn",4,4,"RoundRed","Redondo","Rojo","Fino",247,"quemusije",5.133333333
"Learn",4,4,"RoundGreen","Redondo","Verde","Fino",257,"quemusije",5.133333333
"Learn",4,4,"RoundBlue","Redondo","Azul","Fino",267,"doze",3.6875
"Learn",4,4,"RoundRedThick","Redondo","Rojo","Grueso",248,"faludelu",2.875
"Learn",4,4,"RoundGreenThick","Redondo","Verde","Grueso",258,"neruru",2.8
"Learn",4,4,"RoundBlueThick","Redondo","Azul","Grueso",268,"neruru",2.8
"Learn",4,5,"SpikyRed","Picudo","Rojo","Fino",147,"quesimuje",5.4
"Learn",4,5,"SpikyGreen","Picudo","Verde","Fino",157,"lea",2.333333333
"Learn",4,5,"SpikyBlue","Picudo","Azul","Fino",167,"kiper",6.133333333
"Learn",4,5,"SpikyRedThick","Picudo","Rojo","Grueso",148,"faludelu",2.875
"Learn",4,5,"SpikyGreenThick","Picudo","Verde","Grueso",158,"faludelu",2.875
"Learn",4,5,"SpikyBlueThick","Picudo","Azul","Grueso",168,"neruru",2.8
"Learn",4,5,"RoundRed","Redondo","Rojo","Fino",247,"quemusije",5.133333333
"Learn",4,5,"RoundGreen","Redondo","Verde","Fino",257,"quesimuje",5.4
"Learn",4,5,"RoundBlue","Redondo","Azul","Fino",267,"doze",3.6875
"Learn",4,5,"RoundRedThick","Redondo","Rojo","Grueso",248,"faludelu",2.875
"Learn",4,5,"RoundGreenThick","Redondo","Verde","Grueso",258,"faludelu",2.875
"Learn",4,5,"RoundBlueThick","Redondo","Azul","Grueso",268,"neruru",2.8
"Learn",4,6,"SpikyRed","Picudo","Rojo","Fino",147,"neruru",2.8
"Learn",4,6,"SpikyGreen","Picudo","Verde","Fino",157,"lea",2.333333333
"Learn",4,6,"SpikyBlue","Picudo","Azul","Fino",167,"kiper",6.133333333
"Learn",4,6,"SpikyRedThick","Picudo","Rojo","Grueso",148,"faludelu",2.875
"Learn",4,6,"SpikyGreenThick","Picudo","Verde","Grueso",158,"neruru",2.8
"Learn",4,6,"SpikyBlueThick","Picudo","Azul","Grueso",168,"kiper",6.133333333
"Learn",4,6,"RoundRed","Redondo","Rojo","Fino",247,"quemusije",5.133333333
"Learn",4,6,"RoundGreen","Redondo","Verde","Fino",257,"quesimuje",5.4
"Learn",4,6,"RoundBlue","Redondo","Azul","Fino",267,"doze",3.6875
"Learn",4,6,"RoundRedThick","Redondo","Rojo","Grueso",248,"faludelu",2.875
"Learn",4,6,"RoundGreenThick","Redondo","Verde","Grueso",258,"faludelu",2.875
"Learn",4,6,"RoundBlueThick","Redondo","Azul","Grueso",268,"neruru",2.8
"Learn",5,1,"SpikyRed","Picudo","Rojo","Fino",147,"rimba",2.5
"Learn",5,1,"SpikyGreen","Picudo","Verde","Fino",157,"rimba",2.5
"Learn",5,1,"SpikyBlue","Picudo","Azul","Fino",167,"timajeba",4.4375
"Learn",5,1,"SpikyRedThick","Picudo","Rojo","Grueso",148,"zisu",5
"Learn",5,1,"SpikyGreenThick","Picudo","Verde","Grueso",158,"rimba",2.5
"Learn",5,1,"SpikyBlueThick","Picudo","Azul","Grueso",168,"rimba",2.5
"Learn",5,1,"RoundRed","Redondo","Rojo","Fino",247,"falodelu",3
"Learn",5,1,"RoundGreen","Redondo","Verde","Fino",257,"rimba",2.5
"Learn",5,1,"RoundBlue","Redondo","Azul","Fino",267,"rimba",2.5
"Learn",5,1,"RoundRedThick","Redondo","Rojo","Grueso",248,"falodelu",3
"Learn",5,1,"RoundGreenThick","Redondo","Verde","Grueso",258,"pilu",3.9375
"Learn",5,1,"RoundBlueThick","Redondo","Azul","Grueso",268,"pilu",3.9375
"Learn",5,2,"SpikyRed","Picudo","Rojo","Fino",147,"faladea",2.733333333
"Learn",5,2,"SpikyGreen","Picudo","Verde","Fino",157,"rimba",2.5
"Learn",5,2,"SpikyBlue","Picudo","Azul","Fino",167,"rimba",2.5
"Learn",5,2,"SpikyRedThick","Picudo","Rojo","Grueso",148,"zisu",5
"Learn",5,2,"SpikyGreenThick","Picudo","Verde","Grueso",158,"riba",3.6875
"Learn",5,2,"SpikyBlueThick","Picudo","Azul","Grueso",168,"rimba",2.5
"Learn",5,2,"RoundRed","Redondo","Rojo","Fino",247,"falodea",3.333333333
"Learn",5,2,"RoundGreen","Redondo","Verde","Fino",257,"rimba",2.5
"Learn",5,2,"RoundBlue","Redondo","Azul","Fino",267,"rimba",2.5
"Learn",5,2,"RoundRedThick","Redondo","Rojo","Grueso",248,"faladea",2.733333333
"Learn",5,2,"RoundGreenThick","Redondo","Verde","Grueso",258,"pilu",3.9375
"Learn",5,2,"RoundBlueThick","Redondo","Azul","Grueso",268,"pilu",3.9375
"Learn",5,3,"SpikyRed","Picudo","Rojo","Fino",147,"falodea",3.333333333
"Learn",5,3,"SpikyGreen","Picudo","Verde","Fino",157,"pilu",3.9375
"Learn",5,3,"SpikyBlue","Picudo","Azul","Fino",167,"rimba",2.5
"Learn",5,3,"SpikyRedThick","Picudo","Rojo","Grueso",148,"falodea",3.333333333
"Learn",5,3,"SpikyGreenThick","Picudo","Verde","Grueso",158,"zisu",5
"Learn",5,3,"SpikyBlueThick","Picudo","Azul","Grueso",168,"rmba",3.466666667
"Learn",5,3,"RoundRed","Redondo","Rojo","Fino",247,"faladea",2.733333333
"Learn",5,3,"RoundGreen","Redondo","Verde","Fino",257,"rimba",2.5
"Learn",5,3,"RoundBlue","Redondo","Azul","Fino",267,"rimba",2.5
"Learn",5,3,"RoundRedThick","Redondo","Rojo","Grueso",248,"zisu",5
"Learn",5,3,"RoundGreenThick","Redondo","Verde","Grueso",258,"rimba",2.5
"Learn",5,3,"RoundBlueThick","Redondo","Azul","Grueso",268,"rimba",2.5
"Learn",5,4,"SpikyRed","Picudo","Rojo","Fino",147,"falodea",3.333333333
"Learn",5,4,"SpikyGreen","Picudo","Verde","Fino",157,"piu",4.666666667
"Learn",5,4,"SpikyBlue","Picudo","Azul","Fino",167,"pilu",3.9375
"Learn",5,4,"SpikyRedThick","Picudo","Rojo","Grueso",148,"falodea",3.333333333
"Learn",5,4,"SpikyGreenThick","Picudo","Verde","Grueso",158,"zisu",5
"Learn",5,4,"SpikyBlueThick","Picudo","Azul","Grueso",168,"falodea",3.333333333
"Learn",5,4,"RoundRed","Redondo","Rojo","Fino",247,"faladea",2.733333333
"Learn",5,4,"RoundGreen","Redondo","Verde","Fino",257,"rimba",2.5
"Learn",5,4,"RoundBlue","Redondo","Azul","Fino",267,"rimba",2.5
"Learn",5,4,"RoundRedThick","Redondo","Rojo","Grueso",248,"faladea",2.733333333
"Learn",5,4,"RoundGreenThick","Redondo","Verde","Grueso",258,"rimba",2.5
"Learn",5,4,"RoundBlueThick","Redondo","Azul","Grueso",268,"rimba",2.5
"Learn",5,5,"SpikyRed","Picudo","Rojo","Fino",147,"piu",4.666666667
"Learn",5,5,"SpikyGreen","Picudo","Verde","Fino",157,"pilu",3.9375
"Learn",5,5,"SpikyBlue","Picudo","Azul","Fino",167,"piu",4.666666667
"Learn",5,5,"SpikyRedThick","Picudo","Rojo","Grueso",148,"falabea",2.625
"Learn",5,5,"SpikyGreenThick","Picudo","Verde","Grueso",158,"pilu",3.9375
"Learn",5,5,"SpikyBlueThick","Picudo","Azul","Grueso",168,"zimba",3.666666667
"Learn",5,5,"RoundRed","Redondo","Rojo","Fino",247,"paladea",2.666666667
"Learn",5,5,"RoundGreen","Redondo","Verde","Fino",257,"rimba",2.5
"Learn",5,5,"RoundBlue","Redondo","Azul","Fino",267,"rimba",2.5
"Learn",5,5,"RoundRedThick","Redondo","Rojo","Grueso",248,"faladea",2.733333333
"Learn",5,5,"RoundGreenThick","Redondo","Verde","Grueso",258,"rimba",2.5
"Learn",5,5,"RoundBlueThick","Redondo","Azul","Grueso",268,"zimba",3.666666667
"Learn",5,6,"SpikyRed","Picudo","Rojo","Fino",147,"piu",4.666666667
"Learn",5,6,"SpikyGreen","Picudo","Verde","Fino",157,"piu",4.666666667
"Learn",5,6,"SpikyBlue","Picudo","Azul","Fino",167,"piu",4.666666667
"Learn",5,6,"SpikyRedThick","Picudo","Rojo","Grueso",148,"falabea",2.625
