"Cond","Chain","Gen","Item","Shape","Colour","Border","Code","Word","RatedSpikiness"
"Communication",2,1,"SpikyBlue","Picudo","Azul","Fino",167,"tajuba",4.266666667
"Communication",2,1,"SpikyRedThick","Picudo","Rojo","Grueso",148,"doje",5.0625
"Communication",2,1,"SpikyGreenThick","Picudo","Verde","Grueso",158,"neroro",3.333333333
"Communication",2,1,"SpikyBlueThick","Picudo","Azul","Grueso",168,"neroro",3.333333333
"Communication",2,1,"RoundRed","Redondo","Rojo","Fino",247,"sitobuna",3.333333333
"Communication",2,1,"RoundGreen","Redondo","Verde","Fino",257,"kipe",5.6875
"Communication",2,1,"RoundBlue","Redondo","Azul","Fino",267,"faludelu",2.875
"Communication",2,1,"RoundRedThick","Redondo","Rojo","Grueso",248,"tajeba",4.875
"Communication",2,1,"RoundGreenThick","Redondo","Verde","Grueso",258,"romiba",3.2
"Communication",2,1,"RoundBlueThick","Redondo","Azul","Grueso",268,"tajibe",5.214285714
"Communication",2,2,"SpikyRed","Picudo","Rojo","Fino",147,"rombeber",2.866666667
"Communication",2,2,"SpikyGreen","Picudo","Verde","Fino",157,"romembe",2.533333333
"Communication",2,2,"SpikyBlue","Picudo","Azul","Fino",167,"rombembo",2
"Communication",2,2,"SpikyRedThick","Picudo","Rojo","Grueso",148,"pilu",3.9375
"Communication",2,2,"SpikyGreenThick","Picudo","Verde","Grueso",158,"rombembe",2.266666667
"Communication",2,2,"SpikyBlueThick","Picudo","Azul","Grueso",168,"rombembe",2.266666667
"Communication",2,2,"RoundRed","Redondo","Rojo","Fino",247,"ralucito",3.9375
"Communication",2,2,"RoundGreen","Redondo","Verde","Fino",257,"faculito",3.1875
"Communication",2,2,"RoundBlue","Redondo","Azul","Fino",267,"rombembe",2.266666667
"Communication",2,2,"RoundRedThick","Redondo","Rojo","Grueso",248,"rombembe",2.266666667
"Communication",2,2,"RoundGreenThick","Redondo","Verde","Grueso",258,"faculito",3.1875
"Communication",2,2,"RoundBlueThick","Redondo","Azul","Grueso",268,"faculito",3.1875
"Communication",2,3,"SpikyRed","Picudo","Rojo","Fino",147,"romkbeber",5.466666667
"Communication",2,3,"SpikyGreen","Picudo","Verde","Fino",157,"romembe",2.533333333
"Communication",2,3,"SpikyBlue","Picudo","Azul","Fino",167,"rombembo",2
"Communication",2,3,"SpikyRedThick","Picudo","Rojo","Grueso",148,"pilu",3.9375
