"Cond","Chain","Gen","Item","Shape","Colour","Border","Code","Word","RatedSpikiness","Cond2","ResultsFolder","ResultsFolderAlt"
"Communication",0,1,"SpikyRed","Picudo","Rojo","Fino",147,"doje",5.0625,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"SpikyGreen","Picudo","Verde","Fino",157,"jutumu",4.75,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"SpikyBlue","Picudo","Azul","Fino",167,"neroro",3.333333333,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"SpikyRedThick","Picudo","Rojo","Grueso",148,"kite",6.133333333,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"SpikyGreenThick","Picudo","Verde","Grueso",158,"dejuzme",5.066666667,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"SpikyBlueThick","Picudo","Azul","Grueso",168,"pilu",3.9375,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"RoundRed","Redondo","Rojo","Fino",247,"dejuzme",5.066666667,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"RoundGreen","Redondo","Verde","Fino",257,"romibu",2.8125,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"RoundBlue","Redondo","Azul","Fino",267,"falucitu",3.857142857,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"RoundRedThick","Redondo","Rojo","Grueso",248,"kusijo",6.266666667,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"RoundGreenThick","Redondo","Verde","Grueso",258,"komibu",5.625,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
"Communication",0,1,"RoundBlueThick","Redondo","Azul","Grueso",268,"faludelu",2.875,"Communication 0 1","./GranadaCommunicChain115-01-14-53-53","./GranadaCommunicChain115-01-14-53-53"
